Institution,Conference,G,BA,OBPct,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OppDP,CS,Picked,SB,IBB,RBI2out
DBU,MVC,40,0.281,0.377,252,"1,357",381,83,13,664,58,234,193,25,13,3,348,24,19,7,62,4,
Delaware,CAA,39,0.298,0.376,278,"1,377",411,71,21,659,45,246,163,18,17,13,260,24,12,5,50,2,
Delaware St.,MEAC,34,0.256,0.384,171,"1,008",258,53,4,385,22,152,178,40,13,7,253,25,9,5,47,5,
Dixie St.,WAC,39,0.281,0.374,233,"1,280",360,59,6,506,25,202,173,28,19,36,309,35,18,3,36,3,
Duke,ACC,40,0.258,0.366,235,"1,369",353,73,2,601,57,221,183,58,14,10,350,34,6,10,37,5,
East Carolina,AAC,42,0.275,0.357,249,"1,426",392,58,7,596,44,219,160,35,22,32,308,33,15,6,33,3,
Eastern Ill.,OVC,38,0.297,0.398,290,"1,328",394,70,8,585,35,251,190,43,15,20,271,28,13,2,54,1,
Eastern Ky.,ASUN,40,0.271,0.378,265,"1,346",365,70,6,600,51,247,204,40,20,6,382,24,11,5,30,7,
Eastern Mich.,MAC,39,0.278,0.374,254,"1,286",357,73,6,601,53,240,147,60,16,13,263,26,15,4,33,2,
Elon,CAA,39,0.231,0.343,184,"1,255",290,59,8,446,27,162,182,41,19,25,314,23,12,1,52,7,
ETSU,SoCon,37,0.304,0.383,300,"1,317",400,88,8,690,62,284,141,38,14,14,284,30,5,4,11,4,
Evansville,MVC,39,0.273,0.378,272,"1,361",371,89,4,627,53,256,182,57,14,4,336,15,11,5,31,7,
Fairfield,MAAC,39,0.279,0.372,271,"1,354",378,80,9,620,48,246,166,43,14,14,301,25,18,5,26,2,
Fairleigh Dickinson,NEC,40,0.29,0.393,280,"1,367",396,76,9,613,41,259,163,81,18,12,321,30,27,5,87,1,
FGCU,ASUN,41,0.296,0.412,356,"1,447",429,89,6,704,58,337,210,86,16,4,368,30,5,3,18,3,
FIU,C-USA,38,0.241,0.34,185,"1,259",304,44,7,446,28,158,153,40,8,15,355,18,20,10,50,4,
Fla. Atlantic,C-USA,42,0.288,0.39,303,"1,454",419,88,4,695,60,280,196,59,19,13,350,23,12,1,34,6,
Florida,SEC,40,0.272,0.36,258,"1,357",369,54,7,656,73,242,166,31,17,13,317,27,11,3,33,5,
Florida A&M,SWAC,41,0.26,0.351,223,"1,390",362,67,9,492,15,190,158,43,13,14,383,24,10,5,21,4,
Florida St.,ACC,39,0.265,0.373,232,"1,357",360,85,5,581,42,215,181,60,14,9,432,25,13,6,32,6,
Fordham,Atlantic 10,38,0.263,0.361,214,"1,256",330,62,2,462,22,181,151,53,18,21,295,27,21,11,55,1,
Fresno St.,Mountain West,41,0.297,0.374,266,"1,446",429,79,8,674,50,251,153,32,11,28,333,31,7,4,28,7,
Ga. Southern,Sun Belt,41,0.268,0.377,253,"1,372",368,55,11,556,37,233,186,61,11,40,348,31,4,7,35,8,
Gardner-Webb,Big South,42,0.241,0.347,217,"1,384",334,71,6,507,30,186,180,50,13,13,403,16,15,6,51,5,
George Mason,Atlantic 10,39,0.278,0.365,229,"1,322",368,68,8,515,21,206,142,47,13,22,261,33,25,10,84,3,
George Washington,Atlantic 10,40,0.29,0.376,243,"1,410",409,84,5,596,31,218,160,42,12,13,316,31,17,3,34,2,
Georgetown,Big East,41,0.271,0.38,296,"1,404",380,69,4,679,74,270,202,55,16,20,392,19,15,4,51,2,
Georgia,SEC,41,0.289,0.39,293,"1,410",407,62,10,624,45,268,208,39,20,14,371,23,4,,14,12,
Georgia St.,Sun Belt,41,0.291,0.375,256,"1,379",401,76,4,653,56,234,152,45,17,18,365,27,17,11,48,5,
Georgia Tech,ACC,42,0.324,0.42,406,"1,550",502,84,12,856,82,381,218,59,27,8,361,30,12,7,33,10,
Gonzaga,WCC,38,0.281,0.362,241,"1,349",379,71,12,528,18,218,133,49,19,19,269,28,13,2,33,1,
Grambling,SWAC,40,0.315,0.425,363,"1,341",423,75,20,661,41,319,201,68,18,13,364,21,17,9,64,1,
Grand Canyon,WAC,42,0.299,0.372,264,"1,468",439,87,11,674,42,238,148,36,21,19,263,25,15,2,32,5,
Hartford,America East,34,0.238,0.327,156,"1,140",271,53,8,430,30,142,135,22,12,12,332,22,16,7,54,3,
Harvard,Ivy League,34,0.27,0.353,203,"1,213",327,69,4,479,25,176,130,33,11,9,293,26,7,,22,1,
Hawaii,Big West,36,0.259,0.363,201,"1,195",309,53,3,413,15,177,143,60,13,33,324,30,22,18,46,8,
High Point,Big South,42,0.242,0.34,206,"1,367",331,65,4,479,25,179,175,36,17,18,325,30,11,5,40,3,
Hofstra,CAA,35,0.259,0.334,175,"1,221",316,64,8,474,26,153,116,28,13,13,216,26,14,7,27,5,
Holy Cross,Patriot,45,0.244,0.332,187,"1,472",359,59,10,483,15,163,168,32,14,19,333,30,14,6,52,1,
Houston,AAC,41,0.282,0.37,261,"1,350",381,76,8,584,37,230,157,39,14,9,310,35,27,5,59,3,
Houston Baptist,Southland,42,0.238,0.325,177,"1,323",315,55,11,449,19,159,149,27,11,24,339,36,16,4,30,3,
Illinois,Big Ten,38,0.286,0.386,272,"1,351",386,80,7,597,39,237,171,57,11,14,295,27,12,2,36,12,
Illinois St.,MVC,36,0.263,0.351,200,"1,280",336,54,3,519,41,181,139,41,10,15,308,25,9,4,30,5,
Indiana,Big Ten,41,0.276,0.382,296,"1,412",390,67,12,640,53,268,212,38,12,8,352,40,9,7,55,4,
Indiana St.,MVC,32,0.312,0.396,236,"1,136",354,71,10,544,33,216,117,51,13,13,230,25,7,7,21,1,
Iona,MAAC,36,0.228,0.296,108,"1,182",270,48,13,371,9,95,89,29,9,10,335,23,10,4,25,2,
Iowa,Big Ten,37,0.277,0.382,234,"1,285",356,75,8,537,30,211,178,52,18,11,352,22,12,5,33,4,
Jackson St.,SWAC,40,0.264,0.385,280,"1,282",339,60,10,467,16,217,209,54,17,39,287,25,25,8,78,1,
Jacksonville,ASUN,37,0.256,0.361,216,"1,269",325,51,2,437,19,182,164,53,16,18,311,24,16,5,72,4,
Jacksonville St.,ASUN,39,0.255,0.353,214,"1,292",329,70,7,512,33,196,161,44,14,16,352,34,12,1,25,2,
James Madison,CAA,41,0.279,0.392,291,"1,411",393,84,5,640,51,265,214,60,18,21,349,20,14,6,68,13,
Kansas,Big 12,41,0.272,0.353,251,"1,445",393,79,14,620,40,229,147,38,8,11,320,18,13,6,47,3,
Kansas St.,Big 12,40,0.289,0.374,262,"1,376",397,95,6,684,60,241,163,34,16,12,315,34,9,7,32,5,
Kennesaw St.,ASUN,41,0.299,0.378,274,"1,402",419,86,9,634,37,246,144,44,16,26,300,33,12,4,39,6,
Kent St.,MAC,35,0.295,0.38,235,"1,195",352,59,5,577,52,215,135,40,17,21,324,26,23,7,49,3,
