Institution,Conference,G,BA,OBPct,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OppDP,CS,Picked,SB,IBB,RBI2out
South Carolina,SEC,39,0.259,0.359,223,"1,266",328,47,3,489,36,202,166,41,16,15,306,34,16,4,40,7,
South Dakota St.,Summit League,33,0.25,0.352,192,"1,104",276,62,2,459,39,182,132,47,10,6,318,20,11,2,32,2,
South Fla.,AAC,40,0.273,0.396,276,"1,321",360,70,5,584,48,255,216,67,19,16,340,27,10,6,27,2,
Southeast Mo. St.,OVC,39,0.279,0.381,308,"1,357",378,79,9,679,68,294,185,45,10,17,352,33,13,,48,2,
Southeastern La.,Southland,41,0.236,0.355,205,"1,313",310,64,8,510,40,186,160,86,8,23,303,25,27,8,64,6,
Southern California,Pac-12,38,0.279,0.357,233,"1,282",358,62,11,589,49,217,123,42,20,13,252,36,16,7,26,3,
Southern Ill.,MVC,40,0.299,0.394,310,"1,415",423,82,8,704,61,285,194,41,18,3,308,25,10,5,51,8,
Southern Miss.,C-USA,41,0.285,0.385,271,"1,401",399,85,7,651,51,247,169,72,21,17,287,39,13,1,13,3,
Southern U.,SWAC,37,0.257,0.376,223,"1,187",305,61,7,464,28,199,168,66,12,20,318,24,21,9,55,4,
St. Bonaventure,Atlantic 10,30,0.233,0.31,93,981,229,48,7,318,9,82,84,28,7,26,290,16,5,4,20,1,
St. John's (NY),Big East,41,0.264,0.369,233,"1,366",361,65,6,522,28,213,201,34,14,12,309,28,4,4,23,3,
St. Thomas (MN),Summit League,33,0.228,0.295,121,"1,088",248,25,9,339,16,109,91,16,7,27,265,17,13,9,33,2,
Stanford,Pac-12,36,0.282,0.367,229,"1,243",351,74,9,581,46,205,145,30,14,13,310,30,10,6,31,8,
Stetson,ASUN,40,0.259,0.35,209,"1,323",342,56,11,477,19,176,155,39,15,17,385,31,18,6,73,2,
Stony Brook,America East,38,0.258,0.352,215,"1,300",335,70,10,533,36,190,147,47,9,17,302,18,13,9,63,4,
Tarleton St.,WAC,40,0.272,0.368,253,"1,351",368,61,8,610,55,230,160,50,10,15,384,21,16,8,50,1,
TCU,Big 12,41,0.268,0.38,283,"1,369",367,81,9,571,35,256,233,30,24,3,329,23,7,3,58,6,
Tennessee,SEC,41,0.308,0.427,386,"1,391",429,101,20,852,94,360,255,48,21,5,331,25,20,6,58,3,
Tennessee Tech,OVC,38,0.297,0.394,305,"1,376",408,65,3,695,72,277,189,45,20,6,343,20,6,3,12,3,
Texas,Big 12,44,0.32,0.416,359,"1,529",489,101,9,842,78,335,223,46,24,25,348,29,13,4,40,1,
Texas A&M,SEC,39,0.286,0.393,273,"1,341",383,78,8,609,44,252,209,43,23,2,356,21,20,6,45,3,
Texas Southern,SWAC,38,0.311,0.429,346,"1,242",386,90,17,612,34,296,207,71,29,14,242,11,31,11,149,1,
Texas St.,Sun Belt,42,0.301,0.405,350,"1,440",434,87,13,727,60,313,218,49,25,14,298,34,14,8,51,3,
Texas Tech,Big 12,44,0.3,0.413,398,"1,549",464,109,11,784,63,374,262,56,28,7,364,30,2,2,26,4,
The Citadel,SoCon,40,0.262,0.371,262,"1,303",342,65,7,490,23,222,195,40,17,34,287,20,13,8,40,9,
Toledo,MAC,39,0.273,0.36,235,"1,297",354,71,8,567,42,210,137,49,18,6,328,15,13,8,56,4,
Towson,CAA,39,0.238,0.342,196,"1,279",305,52,11,487,36,176,173,36,14,19,307,33,14,7,31,3,
Troy,Sun Belt,39,0.277,0.371,266,"1,323",366,74,8,573,39,242,154,54,17,14,267,28,12,5,43,3,
Tulane,AAC,42,0.275,0.369,297,"1,429",393,100,11,641,42,264,182,45,25,9,366,26,13,2,37,2,
UAB,C-USA,39,0.28,0.376,224,"1,287",360,52,9,541,37,202,166,41,14,16,310,34,14,5,43,5,
UAlbany,America East,35,0.298,0.394,274,"1,246",371,77,9,577,37,246,166,44,17,7,301,14,9,3,60,3,
UC Davis,Big West,27,0.249,0.339,130,944,235,47,5,331,13,108,102,31,9,1,297,16,9,3,12,3,
UC Irvine,Big West,38,0.26,0.366,236,"1,301",338,67,16,533,32,218,161,66,15,28,322,19,12,3,32,15,
UC Riverside,Big West,35,0.232,0.317,132,"1,136",263,51,8,345,5,123,97,49,9,12,297,25,12,6,24,4,
UC San Diego,Big West,38,0.266,0.375,216,"1,290",343,69,12,541,35,198,181,52,13,13,363,32,15,4,16,2,
UC Santa Barbara,Big West,37,0.276,0.379,259,"1,263",349,72,11,593,50,238,166,51,14,14,322,22,17,4,58,8,
UCF,AAC,40,0.282,0.38,270,"1,335",376,66,10,588,42,243,165,54,13,23,364,28,15,7,78,4,
UCLA,Pac-12,40,0.267,0.389,236,"1,356",362,79,8,550,31,214,204,76,13,22,350,27,9,8,59,5,
UConn,Big East,42,0.293,0.387,338,"1,490",436,98,18,720,50,304,191,53,22,14,315,20,17,8,44,8,
UIC,Horizon,32,0.245,0.353,165,"1,042",255,58,7,399,24,146,145,37,15,30,342,18,15,4,43,5,
UIW,Southland,37,0.276,0.349,204,"1,280",353,68,10,540,33,186,112,35,6,10,276,28,12,5,28,1,
ULM,Sun Belt,39,0.26,0.358,201,"1,327",345,61,10,522,32,182,169,40,11,27,361,23,19,5,46,4,
UMass Lowell,America East,40,0.288,0.39,294,"1,401",403,64,12,602,37,263,185,64,21,16,332,26,22,8,100,1,
UMBC,America East,38,0.28,0.396,266,"1,289",361,65,14,508,18,232,194,68,24,5,271,31,22,11,66,1,
UMES,MEAC,41,0.25,0.365,211,"1,247",312,55,6,418,13,176,197,37,13,25,299,29,15,4,51,2,
UNC Asheville,Big South,37,0.246,0.361,210,"1,247",307,58,9,437,18,190,187,45,16,13,356,27,8,3,15,6,
UNC Greensboro,SoCon,41,0.303,0.386,280,"1,462",443,80,12,649,34,267,168,39,17,14,326,33,13,9,44,5,
UNCW,CAA,39,0.266,0.355,251,"1,290",343,78,8,587,50,226,136,52,18,28,309,23,10,5,40,7,
UNLV,Mountain West,42,0.341,0.431,421,"1,596",545,122,18,883,60,389,211,58,23,2,342,35,3,3,31,6,
USC Upstate,Big South,41,0.301,0.394,305,"1,444",434,78,14,615,25,262,151,84,21,20,265,31,16,4,62,2,
UT Arlington,Sun Belt,41,0.253,0.351,187,"1,347",341,62,3,460,17,166,146,64,14,9,307,37,16,6,20,4,
UT Martin,OVC,35,0.249,0.346,182,"1,164",290,60,6,452,30,171,135,44,12,7,328,24,8,5,19,2,
Utah,Pac-12,40,0.3,0.397,280,"1,385",416,89,12,634,35,262,174,62,20,36,318,36,12,11,29,13,
Utah Valley,WAC,41,0.262,0.337,209,"1,363",357,62,15,551,34,178,118,46,17,5,361,22,14,9,39,3,
UTRGV,WAC,41,0.298,0.386,278,"1,378",411,77,7,634,44,252,151,58,21,13,289,31,27,3,33,4,
UTSA,C-USA,41,0.309,0.408,349,"1,450",448,93,13,690,41,320,200,64,30,7,296,34,9,3,21,1,
Valparaiso,MVC,36,0.254,0.34,162,"1,181",300,64,9,448,22,142,126,34,10,7,314,27,13,7,23,,
Vanderbilt,SEC,39,0.297,0.398,280,"1,312",390,80,10,625,45,255,203,32,23,18,313,30,7,4,57,8,
VCU,Atlantic 10,39,0.244,0.35,238,"1,314",321,71,6,479,25,209,166,56,15,18,322,18,10,4,42,9,
Villanova,Big East,36,0.247,0.362,207,"1,193",295,46,7,424,23,182,163,56,8,25,311,22,11,6,26,1,
Virginia,ACC,42,0.323,0.427,409,"1,500",484,84,12,763,57,372,240,54,27,13,297,27,13,1,55,6,
Virginia Tech,ACC,38,0.32,0.423,347,"1,367",438,106,13,810,80,325,215,43,22,6,340,21,14,3,55,9,
VMI,SoCon,41,0.274,0.355,225,"1,396",382,65,9,570,35,208,147,37,13,11,318,32,13,7,43,1,
Wagner,NEC,38,0.238,0.348,196,"1,242",296,62,6,457,29,170,159,57,15,11,347,25,13,4,40,1,
Wake Forest,ACC,42,0.316,0.426,392,"1,499",473,81,6,794,76,374,256,45,19,3,353,27,9,3,18,1,
Washington,Pac-12,38,0.244,0.33,182,"1,330",325,68,6,480,25,161,138,38,13,11,309,25,6,2,24,6,
Washington St.,Pac-12,39,0.256,0.35,210,"1,333",341,62,5,497,28,203,154,47,15,20,330,29,9,4,14,3,
West Virginia,Big 12,39,0.262,0.371,255,"1,278",335,70,7,506,29,218,179,51,16,19,319,26,32,11,131,3,
Western Caro.,SoCon,40,0.277,0.386,299,"1,373",380,80,17,635,47,258,179,76,19,13,343,32,27,4,55,4,
Western Ill.,Summit League,37,0.252,0.352,173,"1,197",302,42,4,394,14,142,137,56,15,26,311,23,23,12,74,1,
Western Ky.,C-USA,40,0.249,0.331,216,"1,306",325,74,9,528,37,196,132,38,19,,329,20,11,8,36,,
Western Mich.,MAC,37,0.289,0.393,254,"1,215",351,79,7,567,41,227,162,52,10,15,319,17,14,3,41,2,
Wichita St.,AAC,41,0.247,0.338,203,"1,397",345,61,7,540,40,185,162,36,11,10,394,29,16,4,31,,
William & Mary,CAA,37,0.268,0.383,236,"1,265",339,66,5,511,32,217,175,71,16,15,240,17,14,3,38,1,
Winthrop,Big South,41,0.257,0.347,201,"1,371",353,66,3,506,27,180,169,28,17,23,336,25,12,5,16,2,
Wofford,SoCon,41,0.3,0.414,319,"1,336",401,70,11,580,29,265,207,67,19,42,299,32,32,11,117,2,
Wright St.,Horizon,37,0.27,0.384,276,"1,287",347,75,7,574,46,247,196,51,12,11,318,22,16,6,55,1,
Xavier,Big East,42,0.275,0.373,279,"1,453",399,71,6,659,59,261,194,45,19,8,389,33,14,4,55,1,
Yale,Ivy League,32,0.258,0.356,191,"1,096",283,54,4,429,28,174,139,37,18,12,254,11,12,6,61,5,
Youngstown St.,Horizon,41,0.23,0.334,181,"1,316",303,55,9,451,25,148,192,19,11,16,355,25,20,4,30,3,
